1, 428, 642
2, 428, 674
3, 480, 725
4, 512, 725
6, 563, 642
7, 512, 591
8, 480, 591
9, 495, 659
10, 495, 659
11, 495, 659
12, 495, 659
13, 233, 890
14, 233, 923
15, 284, 975
16, 316, 975
17, 368, 923
18, 368, 890
19, 316, 839
20, 284, 839
21, 301, 907
22, 301, 907
23, 301, 907
24, 301, 907
25, 428, 891
26, 428, 924
27, 479, 976
28, 511, 976
30, 562, 891
31, 511, 840
32, 479, 840
33, 494, 908
34, 494, 908
35, 494, 908
36, 494, 908
42, 366, 640
41, 366, 672
40, 315, 723
39, 283, 723
37, 234, 640
38, 234, 672
43, 300, 657
44, 300, 657
45, 300, 657
51, 231, 1176
50, 231, 1144
49, 282, 1094
48, 314, 1094
46, 364, 1176
47, 364, 1144
52, 297, 1161
53, 297, 1161
54, 297, 1161
60, 426, 1177
59, 426, 1145
58, 476, 1095
57, 508, 1095
55, 559, 1177
61, 493, 1161
62, 493, 1161
63, 493, 1161
69, 96, 322
68, 128, 322
67, 178, 372
66, 178, 404
64, 96, 454
65, 128, 454
70, 112, 388
71, 112, 388
72, 112, 388
78, 96, 588
77, 129, 588
76, 178, 639
75, 178, 671
73, 96, 721
74, 129, 721
79, 112, 655
80, 112, 655
81, 112, 655
87, 96, 839
86, 129, 839
85, 178, 890
84, 178, 922
82, 96, 972
83, 129, 972
88, 112, 905
89, 112, 905
90, 112, 905
91, 397, 1177
92, 393, 1145
93, 315, 1061
94, 315, 1028
95, 317, 995
96, 283, 1008
97, 283, 1040
98, 282, 1073
99, 509, 1062
100, 511, 1028
101, 512, 995
102, 478, 1009
103, 478, 1041
104, 477, 1074
105, 198, 1145
106, 165, 1141
107, 139, 1121
108, 127, 1089
109, 127, 1056
110, 127, 1023
111, 129, 990
112, 96, 1005
113, 97, 1037
114, 96, 1070
115, 98, 1103
116, 108, 1134
117, 131, 1159
118, 159, 1174
119, 191, 1180
120, 211, 924
121, 401, 924
122, 394, 893
123, 200, 891
124, 511, 807
125, 511, 774
126, 511, 741
127, 478, 758
128, 478, 791
129, 478, 824
130, 315, 806
131, 315, 773
132, 316, 740
133, 284, 756
134, 283, 789
135, 283, 822
136, 129, 806
137, 130, 773
138, 130, 740
139, 96, 754
140, 96, 787
141, 95, 820
142, 399, 674
143, 395, 644
144, 200, 641
145, 211, 672
146, 129, 555
147, 130, 522
148, 130, 489
149, 96, 487
150, 96, 520
151, 96, 553
152, 511, 558
153, 511, 524
154, 504, 492
155, 494, 461
156, 476, 432
157, 454, 408
158, 428, 385
159, 399, 371
160, 368, 359
161, 335, 355
162, 302, 356
163, 269, 362
164, 237, 369
165, 204, 370
166, 210, 408
167, 243, 406
168, 275, 395
169, 306, 387
170, 339, 387
171, 371, 395
172, 401, 408
173, 428, 428
174, 451, 451
175, 466, 480
176, 474, 512
177, 477, 544
178, 128, 289
179, 132, 256
180, 152, 229
181, 183, 217
182, 216, 217
183, 249, 217
184, 281, 217
185, 314, 217
186, 347, 217
187, 380, 218
188, 413, 218
189, 446, 218
190, 478, 218
191, 511, 218
192, 544, 219
193, 577, 219
194, 610, 218
195, 643, 217
196, 645, 184
197, 612, 183
198, 579, 183
199, 546, 184
200, 513, 184
201, 480, 184
202, 446, 184
203, 413, 184
204, 380, 184
205, 347, 184
206, 314, 184
207, 280, 184
208, 247, 184
209, 214, 184
210, 181, 184
211, 149, 193
212, 121, 211
213, 102, 238
214, 94, 269
215, 94, 302
216, 675, 218
217, 708, 218
218, 741, 217
219, 774, 217
220, 807, 220
221, 839, 226
222, 870, 236
223, 901, 249
224, 930, 264
225, 958, 280
226, 986, 297
227, 1016, 311
228, 1046, 324
229, 1077, 333
230, 1109, 338
231, 1142, 340
232, 1175, 341
233, 1208, 341
234, 1241, 341
235, 1274, 341
236, 1306, 340
237, 1339, 340
238, 1372, 340
239, 665, 242
240, 694, 255
241, 727, 254
242, 760, 252
243, 793, 254
244, 824, 261
245, 857, 270
246, 888, 281
247, 916, 296
248, 944, 313
249, 972, 330
250, 1002, 344
251, 1032, 357
252, 1064, 366
253, 1096, 371
254, 1129, 373
255, 1162, 374
256, 1195, 375
257, 1227, 376
258, 1260, 370
259, 1376, 307
260, 1343, 307
261, 1310, 307
262, 1276, 307
263, 1243, 306
264, 1210, 305
265, 1177, 304
266, 1144, 303
267, 1111, 302
268, 1078, 297
269, 1046, 287
270, 1016, 273
271, 986, 258
272, 958, 241
273, 929, 226
274, 899, 210
275, 868, 198
276, 836, 189
277, 803, 185
278, 770, 183
279, 737, 183
280, 704, 183
281, 671, 183
282, 1259, 279
283, 1227, 269
284, 1194, 270
285, 1161, 271
286, 1128, 270
287, 1095, 264
288, 1063, 255
289, 1033, 242
290, 1003, 226
291, 974, 210
292, 945, 193
293, 916, 179
294, 885, 166
295, 853, 155
296, 821, 150
297, 788, 147
298, 754, 146
299, 721, 145
300, 688, 148
301, 657, 159
302, 1553, 341
303, 1586, 341
304, 1619, 341
305, 1652, 341
306, 1684, 341
307, 1717, 341
308, 1750, 339
309, 1782, 329
310, 1808, 309
311, 1825, 281
312, 1834, 249
313, 1833, 216
314, 1831, 183
315, 1829, 150
316, 1817, 119
317, 1795, 94
318, 1764, 82
319, 1731, 78
320, 1698, 77
321, 1665, 77
322, 1631, 78
323, 1598, 78
324, 1565, 78
325, 1532, 78
326, 1499, 83
327, 1471, 100
328, 1452, 127
329, 1443, 158
330, 1440, 191
331, 1440, 224
332, 1478, 227
333, 1477, 194
334, 1478, 160
335, 1487, 129
336, 1515, 111
337, 1548, 111
338, 1581, 110
339, 1613, 110
340, 1646, 110
341, 1679, 111
342, 1712, 111
343, 1745, 111
344, 1776, 122
345, 1794, 149
346, 1799, 182
347, 1798, 215
348, 1799, 247
349, 1794, 280
350, 1768, 300
351, 1735, 308
352, 1702, 308
353, 1669, 308
354, 1636, 308
355, 1603, 308
356, 1570, 307
357, 1476, 412
358, 1479, 379
359, 1504, 356
360, 1518, 327
361, 1512, 295
362, 1486, 274
363, 1454, 268
364, 1422, 277
365, 1404, 305
366, 1397, 337
367, 1418, 362
368, 1445, 381
369, 1532, 340
370, 1537, 305
371, 1438, 257
372, 1443, 414
373, 1443, 447
374, 1442, 479
375, 1443, 512
376, 1443, 545
377, 1432, 576
378, 1414, 604
379, 1399, 632
380, 1392, 665
381, 1393, 698
382, 1393, 731
383, 1392, 764
384, 1392, 797
385, 1392, 830
386, 1427, 831
387, 1427, 798
388, 1427, 765
389, 1425, 732
390, 1426, 698
391, 1426, 665
392, 1435, 633
393, 1451, 605
394, 1467, 576
395, 1476, 544
396, 1477, 511
397, 1477, 478
398, 1477, 445
399, 1392, 862
400, 1393, 885
401, 1393, 918
402, 1393, 951
403, 1394, 983
404, 1394, 1016
405, 1394, 1049
406, 1394, 1082
407, 1395, 1115
408, 1396, 1148
409, 1407, 1179
410, 1440, 1180
411, 1472, 1179
412, 1505, 1176
413, 1533, 1158
414, 1549, 1129
415, 1550, 1096
416, 1549, 1062
417, 1549, 1029
418, 1550, 996
419, 1548, 963
420, 1546, 930
421, 1524, 905
422, 1494, 892
423, 1461, 891
424, 1428, 887
425, 1427, 853
426, 1360, 888
427, 1327, 891
428, 1294, 891
429, 1261, 891
430, 1227, 891
431, 1194, 891
432, 1161, 891
433, 1128, 890
434, 1095, 890
435, 1062, 891
436, 1029, 891
437, 996, 891
438, 963, 891
439, 930, 891
440, 897, 892
441, 863, 893
442, 830, 894
443, 797, 894
444, 764, 894
445, 731, 894
446, 697, 894
447, 592, 1178
448, 625, 1179
449, 658, 1179
450, 691, 1179
451, 723, 1179
452, 756, 1180
453, 789, 1180
454, 822, 1180
455, 855, 1180
456, 888, 1179
457, 920, 1180
458, 953, 1180
459, 986, 1180
460, 1019, 1180
461, 1052, 1180
462, 1085, 1180
463, 1117, 1180
464, 1150, 1180
465, 1183, 1180
466, 1216, 1180
467, 1249, 1180
468, 1282, 1180
469, 1314, 1180
470, 1347, 1180
471, 1380, 1180
472, 1082, 1077
473, 1115, 1076
474, 1148, 1078
475, 1180, 1083
476, 1210, 1095
477, 1237, 1114
478, 1263, 1134
479, 1287, 1155
480, 639, 1148
481, 642, 1115
482, 642, 1082
483, 641, 1049
484, 640, 1016
485, 640, 982
486, 640, 949
487, 639, 916
488, 638, 892
489, 605, 892
490, 638, 859
491, 639, 825
492, 639, 792
493, 656, 764
494, 673, 736
495, 664, 894
496, 678, 867
497, 675, 834
498, 674, 800
499, 676, 767
500, 672, 703
501, 666, 670
502, 641, 648
503, 608, 644
504, 638, 892
